Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779797091,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779797092,2,,Aggregated,0.000000,0.000000,24,24,24,24,24,24,24,24,24,24,24,2,0,10,16.742300000260002,9.966100000383449,23.518500000136555,76.0
1779797093,4,,Aggregated,0.000000,0.000000,10,10,24,24,24,24,24,24,24,24,24,4,0,8,11.689999999816791,5.769699999291333,23.518500000136555,76.0
1779797094,6,,Aggregated,2.000000,0.000000,8,8,10,10,24,24,24,24,24,24,24,8,0,6,8.453412500102786,3.275200000643963,23.518500000136555,76.0
1779797095,8,,Aggregated,2.000000,0.000000,6,6,8,8,10,24,24,24,24,24,24,14,0,6,6.752807142739974,3.275200000643963,23.518500000136555,76.0
1779797096,10,,Aggregated,2.000000,0.000000,6,6,7,8,10,24,24,24,24,24,24,20,0,5,6.2126050000188116,3.275200000643963,23.518500000136555,76.0
1779797097,10,,Aggregated,2.500000,0.000000,4,6,6,7,8,10,24,24,24,24,24,25,0,4,5.713247999956366,3.275200000643963,23.518500000136555,76.0
1779797098,10,,Aggregated,3.400000,0.000000,4,6,6,7,8,10,24,24,24,24,24,30,0,4,5.605109999911899,3.275200000643963,23.518500000136555,76.0
1779797099,10,,Aggregated,3.500000,0.000000,4,5,6,6,8,10,24,24,24,24,24,38,0,4,5.140710526240199,2.9630999997607432,23.518500000136555,76.0
1779797100,10,,Aggregated,3.857143,0.000000,4,4,6,6,7,8,24,24,24,24,24,43,0,4,4.994330232452634,2.763599999525468,23.518500000136555,76.0
1779797101,10,,Aggregated,3.750000,0.000000,4,4,6,6,7,8,24,24,24,24,24,46,0,4,4.849636956429964,2.3522999999840977,23.518500000136555,76.0
